Draw Date	|  Numbers As Drawn
09-11-2023	53--27--25--66--9
09-09-2023	29--19--11--63--68
09-06-2023	20--23--9--14--63
09-04-2023	51--1--32--46--26
09-02-2023	38--67--25--66--42
08-30-2023	35--69--61--13--4
08-28-2023	55--6--25--68--4
08-26-2023	26--20--63--22--28
08-23-2023	33--30--32--25--55
08-21-2023	3--4--28--12--22
08-19-2023	27--38--1--62--25
08-16-2023	55--9--11--19--17
08-14-2023	37--34--47--39--32
08-12-2023	19--50--65--21--37
08-09-2023	15--67--10--21--69
08-07-2023	13--6--20--54--35
08-05-2023	62--44--65--18--42
08-02-2023	64--33--24--23--51
07-31-2023	58--2--65--11--48
07-29-2023	27--10--34--25--38
07-26-2023	3--40--16--60--48
07-24-2023	49--3--12--28--4
07-22-2023	63--37--25--27--36
07-19-2023	7--13--10--24--11
07-17-2023	17--8--9--41--5
07-15-2023	57--43--2--55--9
07-12-2023	66--45--23--35--67
07-10-2023	34--58--24--2--53
07-08-2023	24--7--32--23--43
07-05-2023	68--17--24--62--48
07-03-2023	31--38--15--61--26
07-01-2023	4--49--61--17--35
06-28-2023	34--19--68--25--57
06-26-2023	6--54--43--28--39
06-24-2023	38--44--50--2--62
06-21-2023	5--33--35--11--63
06-19-2023	69--57--52--39--36
06-17-2023	12--61--2--64--45
06-14-2023	20--3--42--36--64
06-12-2023	68--2--23--3--16
06-10-2023	42--46--50--21--32
06-07-2023	16--53--29--66--21
06-05-2023	46--2--45--31--49
06-03-2023	15--67--64--45--68
05-31-2023	62--54--4--2--61
05-29-2023	64--35--21--62--33
05-27-2023	48--39--56--38--24
05-24-2023	58--44--21--50--12
05-22-2023	38--52--48--9--68
05-20-2023	23--63--32--38--17
05-17-2023	51--18--37--45--34
05-15-2023	58--1--26--55--28
05-13-2023	3--46--20--23--15
05-10-2023	24--55--69--21--33
05-08-2023	15--33--43--36--20
05-06-2023	39--51--53--31--47
05-03-2023	26--21--47--30--45
05-01-2023	61--38--66--55--3
04-29-2023	16--53--65--57--54
04-26-2023	15--49--2--30--35
04-24-2023	19--55--68--66--21
04-22-2023	63--68--17--36--47
04-19-2023	21--4--11--64--38
04-17-2023	64--35--63--23--25
04-15-2023	56--1--33--34--59
04-12-2023	41--36--59--9--44
04-10-2023	46--52--9--10--36
04-08-2023	51--11--22--60--24
04-05-2023	52--42--9--3--5
04-03-2023	16--31--68--30--54
04-01-2023	19--29--21--11--52
03-29-2023	66--9--24--46--4
03-27-2023	36--19--26--58--43
03-25-2023	15--57--18--47--17
03-22-2023	37--27--28--50--57
03-20-2023	32--67--47--1--27
03-18-2023	69--20--14--30--54
03-15-2023	18--33--37--50--16
03-13-2023	3--46--24--10--63
03-11-2023	33--58--11--43--20
03-08-2023	43--69--26--27--61
03-06-2023	69--58--13--29--2
03-04-2023	10--40--16--18--66
03-01-2023	2--28--9--36--53
02-27-2023	55--49--16--28--51
02-25-2023	24--66--58--11--67
02-22-2023	11--39--65--44--19
02-20-2023	17--3--54--38--26
02-18-2023	31--8--37--32--21
02-15-2023	60--31--63--54--32
02-13-2023	26--37--17--65--61
02-11-2023	65--30--10--23--54
02-08-2023	64--59--66--58--52
02-06-2023	22--11--23--5--69
02-04-2023	58--2--15--19--8
02-01-2023	58--59--43--31--66
01-30-2023	49--1--36--4--12
01-28-2023	23--27--47--18--2
01-25-2023	17--38--20--9--40
01-23-2023	47--60--31--58--12
01-21-2023	14--5--64--19--46
01-18-2023	15--47--22--6--42
01-16-2023	14--33--4--61--39
01-14-2023	24--26--57--39--47
01-11-2023	4--47--48--8--46
01-09-2023	18--43--48--60--69
01-07-2023	45--36--67--35--44
01-04-2023	68--12--56--32--67
01-02-2023	9--62--12--7--31
12-31-2022	18--37--44--64--50
12-28-2022	32--38--45--26--56
12-26-2022	60--41--47--17--61
12-24-2022	37--17--67--54--46
12-21-2022	34--15--59--24--12
12-19-2022	55--37--65--7--67
12-17-2022	56--33--66--68--64
12-14-2022	36--51--68--66--59
12-12-2022	55--16--50--31--61
12-10-2022	23--9--68--49--47
12-07-2022	61--59--28--6--44
12-05-2022	35--54--55--45--47
12-03-2022	13--36--37--6--33
11-30-2022	4--24--47--66--19
11-28-2022	48--30--50--32--29
11-26-2022	15--30--47--50--51
11-23-2022	31--2--1--39--66
11-21-2022	1--67--51--40--6
11-19-2022	62--63--28--7--64
11-16-2022	53--56--28--34--51
11-14-2022	54--67--19--53--35
11-12-2022	58--57--20--44--16
11-09-2022	14--24--7--30--56
11-07-2022	56--41--33--47--10
11-05-2022	69--53--45--56--28
11-02-2022	22--11--60--2--35
10-31-2022	19--13--39--59--36
10-29-2022	40--19--57--31--46
10-26-2022	46--37--19--56--36
10-24-2022	23--45--54--35--18
10-22-2022	55--25--60--19--48
10-19-2022	27--42--15--8--6
10-17-2022	46--30--36--19--60
10-15-2022	32--62--40--58--37
10-12-2022	59--30--42--14--41
10-10-2022	17--3--22--11--6
10-08-2022	53--60--68--43--13
10-05-2022	26--37--33--62--30
10-03-2022	55--63--2--16--22
10-01-2022	69--22--21--65--8
09-28-2022	10--67--33--24--6
09-26-2022	31--33--13--20--59
09-24-2022	3--21--29--24--9
09-21-2022	33--34--6--54--45
09-19-2022	7--15--67--46--36
09-17-2022	5--25--36--61--51
09-14-2022	20--10--22--52--9
09-12-2022	66--14--34--6--16
09-10-2022	56--68--38--42--69
09-07-2022	3--33--16--30--36
09-05-2022	4--7--55--32--64
09-03-2022	18--27--65--49--69
08-31-2022	24--19--7--8--28
08-29-2022	69--61--43--13--36
08-27-2022	2--65--60--18--56
08-24-2022	37--35--6--24--44
08-22-2022	12--55--67--27--34
08-20-2022	16--11--9--66--5
08-17-2022	41--23--55--50--28
08-15-2022	20--50--47--63--24
08-13-2022	43--35--24--62--19
08-10-2022	68--59--61--44--29
08-08-2022	58--45--51--57--32
08-06-2022	15--8--46--56--68
08-03-2022	9--21--56--57--66
08-01-2022	31--65--36--15--21
07-30-2022	17--4--58--68--57
07-27-2022	25--55--1--44--57
07-25-2022	25--37--38--39--65
07-23-2022	59--39--41--54--62
07-20-2022	20--10--65--23--49
07-18-2022	36--14--50--58--34
07-16-2022	23--57--32--18--3
07-13-2022	22--23--47--63--36
07-11-2022	52--37--34--4--26
07-09-2022	42--22--52--46--14
07-06-2022	36--32--69--49--62
07-04-2022	16--15--56--31--24
07-02-2022	59--10--9--37--62
06-29-2022	63--40--8--49--58
06-27-2022	13--30--37--18--11
06-25-2022	12--20--32--27--6
06-22-2022	10--56--6--31--48
06-20-2022	3--44--69--61--63
06-18-2022	40--45--10--19--58
06-15-2022	28--19--42--41--51
06-13-2022	2--44--42--51--27
06-11-2022	26--53--69--20--18
06-08-2022	39--43--62--22--64
06-06-2022	10--2--44--35--46
06-04-2022	60--52--14--16--36
06-01-2022	41--56--63--11--57
05-30-2022	51--69--28--68--27
05-28-2022	66--50--61--39--2
05-25-2022	42--19--28--39--57
05-23-2022	42--37--33--1--39
05-21-2022	15--52--25--58--14
05-18-2022	64--41--40--58--65
05-16-2022	7--22--15--36--64
05-14-2022	6--52--40--45--41
05-11-2022	61--5--7--69--63
05-09-2022	18--56--30--35--52
05-07-2022	5--28--6--67--4
05-04-2022	55--63--69--39--37
05-02-2022	18--39--44--33--27
04-30-2022	21--37--44--63--14
04-27-2022	62--68--61--11--36
04-25-2022	18--61--12--39--20
04-23-2022	49--10--56--39--47
04-20-2022	55--30--56--20--45
04-18-2022	8--33--59--55--62
04-16-2022	62--32--15--65--21
04-13-2022	63--68--41--16--14
04-11-2022	5--34--24--31--7
04-09-2022	62--31--66--6--16
04-06-2022	6--45--47--42--64
04-04-2022	2--39--69--32--46
04-02-2022	58--59--47--28--6
03-30-2022	37--3--31--21--7
03-28-2022	62--11--18--58--39
03-26-2022	2--50--10--59--61
03-23-2022	37--38--31--32--48
03-21-2022	26--15--65--63--1
03-19-2022	9--52--18--8--48
03-16-2022	58--35--28--34--3
03-14-2022	21--28--32--49--44
03-12-2022	19--39--37--61--20
03-09-2022	34--13--22--67--51
03-07-2022	59--67--10--55--43
03-05-2022	37--23--52--63--8
03-02-2022	63--61--48--19--37
02-28-2022	21--7--39--47--55
02-26-2022	48--32--36--64--15
02-23-2022	64--35--17--6--21
02-21-2022	37--45--36--69--2
02-19-2022	10--3--15--42--33
02-16-2022	40--22--48--30--42
02-14-2022	49--55--16--27--25
02-12-2022	10--8--41--21--62
02-09-2022	63--17--51--2--33
02-07-2022	65--5--15--38--47
02-05-2022	39--61--27--16--5
02-02-2022	33--62--18--63--29
01-31-2022	61--10--69--51--15
01-29-2022	54--2--15--65--38
01-26-2022	69--38--49--4--11
01-24-2022	11--53--47--30--29
01-22-2022	67--14--8--33--36
01-19-2022	11--43--61--15--55
01-17-2022	46--65--24--35--9
01-15-2022	3--59--37--51--18
01-12-2022	21--22--30--12--33
01-10-2022	17--21--14--27--18
01-08-2022	21--20--65--36--60
01-05-2022	25--6--14--33--46
01-03-2022	2--33--13--32--48
01-01-2022	39--48--12--50--6
